% # columns="iteration, evaluation, void, void, void, xmean", seed=264413, Sat Nov  9 14:04:19 2024, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 6 0 0 0 -3.421769485761919 -1.9212119682728273
2 12 0 0 0 -3.3555690708186066 -1.9050416318431644
3 18 0 0 0 -3.4665029918990062 -1.9539987258885905
4 24 0 0 0 -3.5038139277748934 -1.9742268637533427
5 30 0 0 0 -3.5290669699749566 -1.906614508637533
6 36 0 0 0 -3.522360411478304 -1.8822560345529518
7 42 0 0 0 -3.5501118884379244 -1.8353783012218006
8 48 0 0 0 -3.5305064451544954 -1.8664679897902379
9 54 0 0 0 -3.535205997819181 -1.8625427083231472
10 60 0 0 0 -3.5164874154342547 -1.90047218506484
11 66 0 0 0 -3.512269576278988 -1.912732205699371
12 72 0 0 0 -3.5353194896336038 -1.864208851023614
13 78 0 0 0 -3.5294140254763526 -1.877022896666029
14 84 0 0 0 -3.5286287022959444 -1.8782844359549251
15 90 0 0 0 -3.511566872847098 -1.910990879574543
16 96 0 0 0 -3.5109542869255455 -1.9085339717334175
17 102 0 0 0 -3.514315351820273 -1.9014064202409375
18 108 0 0 0 -3.507615703179057 -1.9176461762589296
19 114 0 0 0 -3.5042161671148153 -1.9236558561363402
20 120 0 0 0 -3.5133524028297725 -1.9071491107502203
21 126 0 0 0 -3.5168349115201485 -1.9006668643736613
22 132 0 0 0 -3.52228336579949 -1.890262238972176
23 138 0 0 0 -3.520245208934 -1.8936655949892378
24 144 0 0 0 -3.5125784918736853 -1.9078713956816462
25 150 0 0 0 -3.508595105395932 -1.9155492365506168
26 156 0 0 0 -3.5141826709503285 -1.9056197294752724
27 162 0 0 0 -3.5141227131711346 -1.905450110065952
28 168 0 0 0 -3.5185963870424106 -1.8971239171861485
29 174 0 0 0 -3.517039520025504 -1.9000685482382313
30 180 0 0 0 -3.515686407303364 -1.9025443540714835
31 186 0 0 0 -3.515717791306803 -1.9024885829418896
32 192 0 0 0 -3.513717009962537 -1.90617852808076
33 198 0 0 0 -3.5129833613162558 -1.907525040424364
34 204 0 0 0 -3.5104706014477127 -1.9121519847855684
35 210 0 0 0 -3.5097199250977615 -1.9134653578421057
36 216 0 0 0 -3.508259265567523 -1.9161798135535923
37 222 0 0 0 -3.5049954069269447 -1.9221494024919876
38 228 0 0 0 -3.5023591396285014 -1.926974062003824
39 234 0 0 0 -3.5025833282276952 -1.926501826025278
40 240 0 0 0 -3.50637079952734 -1.9195939643867213
41 246 0 0 0 -3.5122466497510603 -1.9088608250655168
42 252 0 0 0 -3.5041574905152535 -1.92366783007923
43 258 0 0 0 -3.504900815473814 -1.9223349850879763
44 264 0 0 0 -3.506575310772334 -1.9192906884504963
45 270 0 0 0 -3.50868345384164 -1.9154365333558951
46 276 0 0 0 -3.5048817756403885 -1.922380449009815
47 282 0 0 0 -3.5057126367387053 -1.9208624168895456
48 288 0 0 0 -3.507560829829148 -1.9174818168704542
49 294 0 0 0 -3.50797134557502 -1.9167365642769634
50 300 0 0 0 -3.5066686770265445 -1.919114652985419
51 306 0 0 0 -3.5063716607841915 -1.9196593491996032
52 312 0 0 0 -3.505407618740974 -1.9214190402033209
53 318 0 0 0 -3.506239446729643 -1.9198984259570309
54 324 0 0 0 -3.506650708011895 -1.919150813410675
55 330 0 0 0 -3.5063588910168035 -1.9196832326302258
56 336 0 0 0 -3.5058492146176636 -1.9206154504188413
57 342 0 0 0 -3.5054999185566036 -1.921251987474469
58 348 0 0 0 -3.5056161176132408 -1.9210401770077339
59 354 0 0 0 -3.5055736026009185 -1.921117994389515
60 360 0 0 0 -3.505694783177895 -1.9208969182409963
61 366 0 0 0 -3.5057352108630457 -1.9208229409678852
62 372 0 0 0 -3.5054488692151016 -1.9213456207123725
63 378 0 0 0 -3.5053152372983143 -1.9215895850978253
64 384 0 0 0 -3.505637261847054 -1.92100187905661
65 390 0 0 0 -3.505480476018663 -1.92128809502766
66 396 0 0 0 -3.505359337606419 -1.9215090717617203
67 402 0 0 0 -3.5054682269331945 -1.9213103800369098
68 408 0 0 0 -3.5056722645721243 -1.9209380346135485
69 414 0 0 0 -3.505691511855373 -1.920902954391709
70 420 0 0 0 -3.5055686451617922 -1.9211271499467222
71 426 0 0 0 -3.505490447927729 -1.9212698713632617
72 432 0 0 0 -3.5056459849111303 -1.9209860757936374
73 438 0 0 0 -3.5054289094483067 -1.9213821375482256
74 444 0 0 0 -3.505430832116235 -1.921378639198652
75 450 0 0 0 -3.505395756447049 -1.9214426445808845
76 456 0 0 0 -3.505440650005256 -1.9213607534004336
77 462 0 0 0 -3.5054314137926887 -1.9213775878758463
78 468 0 0 0 -3.505445363224113 -1.921352151217193
78 468 0 0 0 -3.505445363224113 -1.921352151217193
